"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CKTCEUS","198402","129.108","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198403","132.874","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198404","120.955","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198405","123.252","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198406","135.887","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198407","143.593","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198408","149.777","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198409","131.018","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198410","131.643","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198411","131.706","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198412","139.227","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198413","1616.103","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198501","151.518","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198502","133.392","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198503","131.448","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198504","125.516","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198505","131.069","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198506","135.264","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198507","149.753","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198508","147.677","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198509","134.683","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198510","131.542","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198511","131.096","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198512","152.068","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198513","1655.025","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198601","154.607","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198602","134.216","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198603","131.661","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198604","120.502","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198605","125.416","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198606","138.781","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198607","155.59","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198608","142.715","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198609","132.68","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198610","128.454","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198611","129.192","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198612","141.92","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198613","1635.733","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198701","147.991","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198702","128.867","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198703","129.978","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198704","125.882","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198705","134.773","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198706","147.232","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198707","164.015","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198708","162.968","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198709","141.306","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198710","137.807","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198711","136.592","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198712","152.074","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198713","1709.484","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198801","160.094","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198802","146.278","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198803","141.838","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198804","130.591","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198805","134.643","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198806","152.255","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198807","166.431","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198808","172.512","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198809","144.755","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198810","142.808","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198811","141.921","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198812","158.601","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198813","1792.727","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198901","158.481","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198902","149.304","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198903","148.423","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198904","135.967","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","198905","139.911","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
